period,target
2010-10-15,10639
2010-10-22,10036
2010-10-29,9886
2010-11-05,9706
2010-11-12,9286
2010-11-19,9245
2010-11-26,9550
2010-12-03,9927
2010-12-10,9953
2010-12-17,10218
2010-12-24,8795
2010-12-31,8702
2011-01-07,8755
2011-01-14,8916
2011-01-21,8921
2011-01-28,9247
2011-02-04,9851
2011-02-11,10127
2011-02-18,10323
2011-02-25,10348
2011-03-04,9706
2011-03-11,10199
2011-03-18,9681
2011-03-25,9656
2011-04-01,10577
2011-04-08,9985
2011-04-15,9987
2011-04-22,9819
2011-04-29,9644
2011-05-06,9776
2011-05-13,9964
2011-05-20,10107
2011-05-27,10088
2011-06-03,10242
2011-06-10,10214
2011-06-17,9724
2011-06-24,10059
2011-07-01,9510
2011-07-08,9759
2011-07-15,9451
2011-07-22,9493
2011-07-29,10137
2011-08-05,10107
2011-08-12,9648
2011-08-19,10196
2011-08-26,9334
2011-09-02,9342
2011-09-09,8963
2011-09-16,9371
2011-09-23,9617
2011-09-30,9586
2011-10-07,9709
2011-10-14,9268
2011-10-21,9133
2011-10-28,9330
2011-11-04,9226
2011-11-11,9257
2011-11-18,9247
2011-11-25,8682
2011-12-02,9250
2011-12-09,9526
2011-12-16,9502
2011-12-23,8792
2011-12-30,8144
2012-01-06,8184
2012-01-13,8690
2012-01-20,8550
2012-01-27,8482
2012-02-03,8722
2012-02-10,9296
2012-02-17,9061
2012-02-24,8605
2012-03-02,8938
2012-03-09,9187
2012-03-16,9445
2012-03-23,9686
2012-03-30,9848
2012-04-06,9454
2012-04-13,9316
2012-04-20,9435
2012-04-27,9655
2012-05-04,9761
2012-05-11,9580
2012-05-18,9657
2012-05-25,9003
2012-06-01,10103
2012-06-08,9497
2012-06-15,9378
2012-06-22,9785
2012-06-29,9439
2012-07-06,9384
2012-07-13,9350
2012-07-20,9582
2012-07-27,9621
2012-08-03,10154
2012-08-10,9906
2012-08-17,9759
2012-08-24,10244
2012-08-31,9589
2012-09-07,9403
2012-09-14,9115
2012-09-21,9289
2012-09-28,8842
2012-10-05,9006
2012-10-12,8985
2012-10-19,9361
2012-10-26,8427
2012-11-02,9425
2012-11-09,9688
2012-11-16,8332
2012-11-23,8249
2012-11-30,8440
2012-12-07,8631
2012-12-14,9144
2012-12-21,8575
2012-12-28,7311
2013-01-04,8230
2013-01-11,9102
2013-01-18,9339
2013-01-25,8721
2013-02-01,9137
2013-02-08,9369
2013-02-15,9461
2013-02-22,8709
2013-03-01,9601
2013-03-08,8607
2013-03-15,9046
2013-03-22,9074
2013-03-29,8846
2013-04-05,9050
2013-04-12,9733
2013-04-19,9188
2013-04-26,9098
2013-05-03,8745
2013-05-10,9556
2013-05-17,9629
2013-05-24,9599
2013-05-31,9194
2013-06-07,9321
2013-06-14,9229
2013-06-21,9773
2013-06-28,10136
2013-07-05,9008
2013-07-12,9475
2013-07-19,9836
2013-07-26,9909
2013-08-02,9494
2013-08-09,10037
2013-08-16,9809
2013-08-23,9409
2013-08-30,8886
2013-09-06,9665
2013-09-13,9086
2013-09-20,8615
2013-09-27,9430
2013-10-04,9913
2013-10-11,9452
2013-10-18,9835
2013-10-25,8980
2013-11-01,9619
2013-11-08,9388
2013-11-15,9516
2013-11-22,9053
2013-11-29,8330
2013-12-06,9356
2013-12-13,9790
2013-12-20,8706
2013-12-27,8109
2014-01-03,7348
2014-01-10,8201
2014-01-17,9184
2014-01-24,8757
2014-01-31,8894
2014-02-07,8555
2014-02-14,8794
2014-02-21,9020
2014-02-28,9923
2014-03-07,9285
2014-03-14,9780
2014-03-21,9271
2014-03-28,10084
2014-04-04,8964
2014-04-11,8849
2014-04-18,8651
2014-04-25,8946
2014-05-02,10194
2014-05-09,10051
2014-05-16,10122
2014-05-23,9904
2014-05-30,8786
2014-06-06,10107
2014-06-13,9084
2014-06-20,9749
2014-06-27,9576
2014-07-04,9354
2014-07-11,9124
2014-07-18,9399
2014-07-25,10333
2014-08-01,9666
2014-08-08,9322
2014-08-15,9737
2014-08-22,10342
2014-08-29,8586
2014-09-05,9372
2014-09-12,9342
2014-09-19,9364
2014-09-26,8675
2014-10-03,9805
2014-10-10,9489
2014-10-17,9325
2014-10-24,10000
2014-10-31,9166
2014-11-07,9486
2014-11-14,9475
2014-11-21,9665
2014-11-28,8214
2014-12-05,9330
2014-12-12,9851
2014-12-19,10253
2014-12-26,7938
2015-01-02,8821
2015-01-09,9451
2015-01-16,9646
2015-01-23,8928
2015-01-30,8390
2015-02-06,9248
2015-02-13,9994
2015-02-20,9476
2015-02-27,9048
2015-03-06,10378
2015-03-13,9208
2015-03-20,10500
2015-03-27,9006
2015-04-03,9544
2015-04-10,10259
2015-04-17,9345
2015-04-24,9173
2015-05-01,10082
2015-05-08,10042
2015-05-15,10985
2015-05-22,9721
2015-05-29,10666
2015-06-05,9841
2015-06-12,10366
2015-06-19,10691
2015-06-26,10180
2015-07-03,9965
2015-07-10,10804
2015-07-17,9979
2015-07-24,10246
2015-07-31,10410
2015-08-07,11059
2015-08-14,9755
2015-08-21,10253
2015-08-28,9702
2015-09-04,9144
2015-09-11,9434
2015-09-18,9686
2015-09-25,9063
2015-10-02,10199
2015-10-09,9991
2015-10-16,10148
2015-10-23,9876
2015-10-30,9907
2015-11-06,9363
2015-11-13,9033
2015-11-20,9549
2015-11-27,9788
2015-12-04,9759
2015-12-11,9049
2015-12-18,9803
2015-12-25,7385
2016-01-01,7588
2016-01-08,8841
2016-01-15,8998
2016-01-22,7957
2016-01-29,9596
2016-02-05,9346
2016-02-12,10434
2016-02-19,9600
2016-02-26,10393
2016-03-04,10439
2016-03-11,10363
2016-03-18,9907
2016-03-25,9693
2016-04-01,10354
2016-04-08,10155
2016-04-15,9762
2016-04-22,10267
2016-04-29,10592
2016-05-06,10631
2016-05-13,10094
2016-05-20,10676
2016-05-27,10418
2016-06-03,10455
2016-06-10,10701
2016-06-17,10272
2016-06-24,10405
2016-07-01,10469
2016-07-08,10421
2016-07-15,10418
2016-07-22,10641
2016-07-29,10975
2016-08-05,10825
2016-08-12,10376
2016-08-19,10402
2016-08-26,10726
2016-09-02,9916
2016-09-09,10503
2016-09-16,9496
2016-09-23,10232
2016-09-30,10164
2016-10-07,9372
2016-10-14,10139
2016-10-21,9803
2016-10-28,10292
2016-11-04,9906
2016-11-11,9350
2016-11-18,9658
2016-11-25,9083
2016-12-02,9250
2016-12-09,9989
2016-12-16,10049
2016-12-23,8006
2016-12-30,8650
2017-01-06,7767
2017-01-13,7573
2017-01-20,8134
2017-01-27,9837
2017-02-03,8592
2017-02-10,9323
2017-02-17,9100
2017-02-24,10281
2017-03-03,10013
2017-03-10,9905
2017-03-17,10476
2017-03-24,9621
2017-03-31,10129
2017-04-07,9768
2017-04-14,9519
2017-04-21,9716
2017-04-28,10309
2017-05-05,10267
2017-05-12,10491
2017-05-19,10900
2017-05-26,9691
2017-06-02,9592
2017-06-09,10497
2017-06-16,10370
2017-06-23,10915
2017-06-30,10685
2017-07-07,10749
2017-07-14,10666
2017-07-21,10691
2017-07-28,10465
2017-08-04,10041
2017-08-11,10602
2017-08-18,10699
2017-08-25,10130
2017-09-01,11120
2017-09-08,10239
2017-09-15,10187
2017-09-22,9840
2017-09-29,9836
2017-10-06,9955
2017-10-13,10043
2017-10-20,10534
2017-10-27,10413
2017-11-03,9229
2017-11-10,10157
2017-11-17,9016
2017-11-24,8383
2017-12-01,9071
2017-12-08,9571
2017-12-15,9687
2017-12-22,8390
2017-12-29,8394
2018-01-05,8640
2018-01-12,8663
2018-01-19,9743
2018-01-26,9514
2018-02-02,9076
2018-02-09,9501
2018-02-16,8946
2018-02-23,9883
2018-03-02,10994
2018-03-09,10051
2018-03-16,10387
2018-03-23,10069
2018-03-30,9950
2018-04-06,10686
2018-04-13,9871
2018-04-20,9899
2018-04-27,10506
2018-05-04,10799
2018-05-11,10490
2018-05-18,10659
2018-05-25,9239
2018-06-01,10992
2018-06-08,9877
2018-06-15,10351
2018-06-22,10687
2018-06-29,10465
2018-07-06,10667
2018-07-13,10762
2018-07-20,11084
2018-07-27,9845
2018-08-03,10067
2018-08-10,10152
2018-08-17,10742
2018-08-24,10462
2018-08-31,10578
2018-09-07,10380
2018-09-14,9515
2018-09-21,9912
2018-09-28,9239
2018-10-05,9948
2018-10-12,10079
2018-10-19,10166
2018-10-26,9346
2018-11-02,9770
2018-11-09,9583
2018-11-16,9600
2018-11-23,8611
2018-11-30,9372
2018-12-07,9728
2018-12-14,9373
2018-12-21,7990
2018-12-28,8062
2019-01-04,8059
2019-01-11,9039
2019-01-18,10139
2019-01-25,9512
2019-02-01,9058
2019-02-08,9304
2019-02-15,9483
2019-02-22,10099
2019-03-01,10037
2019-03-08,10714
2019-03-15,10063
2019-03-22,10198
2019-03-29,11328
2019-04-05,10475
2019-04-12,10444
2019-04-19,9878
2019-04-26,10837
2019-05-03,10039
2019-05-10,10286
2019-05-17,9918
2019-05-24,10008
2019-05-31,10335
2019-06-07,10871
2019-06-14,10531
2019-06-21,10147
2019-06-28,10796
2019-07-05,9580
2019-07-12,10548
2019-07-19,10979
2019-07-26,10227
2019-08-02,10756
2019-08-09,10068
2019-08-16,11224
2019-08-23,10512
2019-08-30,10616
2019-09-06,9148
2019-09-13,10160
2019-09-20,10036
2019-09-27,10085
2019-10-04,10233
2019-10-11,10614
2019-10-18,10638
2019-10-25,9924
2019-11-01,9772
2019-11-08,9428
2019-11-15,9169
2019-11-22,8983
2019-11-29,8643
2019-12-06,9407
2019-12-13,9712
2019-12-20,9161
2019-12-27,7176
2020-01-03,8162
2020-01-10,9039
2020-01-17,8880
2020-01-24,9606
2020-01-31,9038
2020-02-07,9457
2020-02-14,9744
2020-02-21,10076
2020-02-28,10642
2020-03-06,10941
2020-03-13,9176
2020-03-20,6444
